Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,2,156,"H3","2309",8,177577,177577,239788,6
2010,699,1,156,"H3","230910",8,33971,33971,66563,0
2010,699,1,156,"H3","24",1,,,1501369,0
2010,699,2,156,"H3","24",1,,,767124,0
2010,699,2,156,"H3","2401",8,83584,83584,408947,6
2010,699,2,156,"H3","240120",8,83584,83584,408947,6
2010,699,2,156,"H3","2403",8,34133,34133,315314,6
2010,699,1,156,"H3","2403",8,38535,38535,105705,0
2010,699,1,156,"H3","240391",8,38400,38400,100192,0
2010,699,1,156,"H3","240399",8,125,125,5438,0
2010,699,2,156,"H3","240399",8,15953,15953,137868,6
2010,699,1,156,"H3","25",1,,,82321577,0
2010,699,2,156,"H3","25",1,,,313084367,0
2010,699,1,156,"H3","2501",1,,619085,77271,0
2010,699,2,156,"H3","2501",1,,,9127560,0
2010,699,1,156,"H3","250100",8,619085,619085,77271,0
2010,699,2,156,"H3","250100",1,,,9127560,0
2010,699,1,156,"H3","2502",8,259000,259000,71648,0
2010,699,1,156,"H3","250200",8,259000,259000,71648,0
2010,699,1,156,"H3","250300",8,75000,75000,14510,0
2010,699,2,156,"H3","250300",1,,,5390435,0
2010,699,1,156,"H3","2504",1,,12395648,7753310,0
2010,699,1,156,"H3","250490",8,356547,356547,316606,0
2010,699,2,156,"H3","250620",1,,,37511,0
2010,699,1,156,"H3","2508",1,,7688760,2207239,0
2010,699,2,156,"H3","2508",1,,,1503526,0
2010,699,1,156,"H3","250810",8,678742,678742,390068,0
2010,699,2,156,"H3","250810",8,4272692,4272692,1329691,6
2010,699,1,156,"H3","250830",8,192000,192000,58379,0
2010,699,2,156,"H3","250830",1,,,45,0
2010,699,1,156,"H3","250840",8,3829975,3829975,552067,0
2010,699,2,156,"H3","250840",8,1917,1917,630,6
2010,699,1,156,"H3","250850",8,20000,20000,8426,0
2010,699,2,156,"H3","250850",8,388928,388928,173161,6
2010,699,1,156,"H3","250860",8,2968043,2968043,1198299,0
2010,699,1,156,"H3","250900",8,38356,38356,17431,0
2010,699,1,156,"H3","2510",1,,145000,61156,0
2010,699,1,156,"H3","251020",8,140000,140000,60015,0
